genome_region,host,country,isolation,collection_date,strain
GP-Spike,NA,Sierra Leone,NA,2014/11/26,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/26,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/26,zaire
vp30,NA,Sierra Leone,NA,2014/11/26,zaire
vp24,NA,Sierra Leone,NA,2014/11/26,zaire
L,NA,Sierra Leone,NA,2014/11/26,zaire
NP,NA,Sierra Leone,NA,2014/11/26,zaire
vp35,NA,Sierra Leone,NA,2014/11/26,zaire
vp40,NA,Sierra Leone,NA,2014/11/26,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/26,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/26,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/26,zaire
vp30,NA,Sierra Leone,NA,2014/11/26,zaire
vp24,NA,Sierra Leone,NA,2014/11/26,zaire
L,NA,Sierra Leone,NA,2014/11/26,zaire
NP,NA,Sierra Leone,NA,2014/11/26,zaire
vp35,NA,Sierra Leone,NA,2014/11/26,zaire
vp40,NA,Sierra Leone,NA,2014/11/26,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/26,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/26,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/26,zaire
vp30,NA,Sierra Leone,NA,2014/11/26,zaire
vp24,NA,Sierra Leone,NA,2014/11/26,zaire
L,NA,Sierra Leone,NA,2014/11/26,zaire
NP,NA,Sierra Leone,NA,2014/11/29,zaire
vp35,NA,Sierra Leone,NA,2014/11/29,zaire
vp40,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/29,zaire
vp30,NA,Sierra Leone,NA,2014/11/29,zaire
vp24,NA,Sierra Leone,NA,2014/11/29,zaire
L,NA,Sierra Leone,NA,2014/11/29,zaire
NP,NA,Sierra Leone,NA,2014/11/29,zaire
vp35,NA,Sierra Leone,NA,2014/11/29,zaire
vp40,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/29,zaire
vp30,NA,Sierra Leone,NA,2014/11/29,zaire
vp24,NA,Sierra Leone,NA,2014/11/29,zaire
L,NA,Sierra Leone,NA,2014/11/29,zaire
NP,NA,Sierra Leone,NA,2014/11/29,zaire
vp35,NA,Sierra Leone,NA,2014/11/29,zaire
vp40,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/29,zaire
vp30,NA,Sierra Leone,NA,2014/11/29,zaire
vp24,NA,Sierra Leone,NA,2014/11/29,zaire
L,NA,Sierra Leone,NA,2014/11/29,zaire
NP,NA,Sierra Leone,NA,2014/11/29,zaire
vp35,NA,Sierra Leone,NA,2014/11/29,zaire
vp40,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/29,zaire
vp30,NA,Sierra Leone,NA,2014/11/29,zaire
vp24,NA,Sierra Leone,NA,2014/11/29,zaire
L,NA,Sierra Leone,NA,2014/11/29,zaire
NP,NA,Sierra Leone,NA,2014/11/29,zaire
vp35,NA,Sierra Leone,NA,2014/11/29,zaire
vp40,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/29,zaire
vp30,NA,Sierra Leone,NA,2014/11/29,zaire
vp24,NA,Sierra Leone,NA,2014/11/29,zaire
L,NA,Sierra Leone,NA,2014/11/29,zaire
NP,NA,Sierra Leone,NA,2014/11/29,zaire
vp35,NA,Sierra Leone,NA,2014/11/29,zaire
vp40,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/29,zaire
vp30,NA,Sierra Leone,NA,2014/11/29,zaire
vp24,NA,Sierra Leone,NA,2014/11/29,zaire
L,NA,Sierra Leone,NA,2014/11/29,zaire
NP,NA,Sierra Leone,NA,2014/11/28,zaire
vp35,NA,Sierra Leone,NA,2014/11/28,zaire
vp40,NA,Sierra Leone,NA,2014/11/28,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/28,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/28,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/28,zaire
vp30,NA,Sierra Leone,NA,2014/11/28,zaire
vp24,NA,Sierra Leone,NA,2014/11/28,zaire
L,NA,Sierra Leone,NA,2014/11/28,zaire
NP,NA,Sierra Leone,NA,2014/11/29,zaire
vp35,NA,Sierra Leone,NA,2014/11/29,zaire
vp40,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/29,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/29,zaire
vp30,NA,Sierra Leone,NA,2014/11/29,zaire
vp24,NA,Sierra Leone,NA,2014/11/29,zaire
L,NA,Sierra Leone,NA,2014/11/29,zaire
NP,NA,Sierra Leone,NA,2014/11/30,zaire
vp35,NA,Sierra Leone,NA,2014/11/30,zaire
vp40,NA,Sierra Leone,NA,2014/11/30,zaire
GP-Spike,NA,Sierra Leone,NA,2014/11/30,zaire
GP-Small,NA,Sierra Leone,NA,2014/11/30,zaire
GP-Second,NA,Sierra Leone,NA,2014/11/30,zaire
vp30,NA,Sierra Leone,NA,2014/11/30,zaire
vp24,NA,Sierra Leone,NA,2014/11/30,zaire
L,NA,Sierra Leone,NA,2014/11/30,zaire
NP,NA,Sierra Leone,NA,2014/12/01,zaire
vp35,NA,Sierra Leone,NA,2014/12/01,zaire
vp40,NA,Sierra Leone,NA,2014/12/01,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/01,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/01,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/01,zaire
vp30,NA,Sierra Leone,NA,2014/12/01,zaire
vp24,NA,Sierra Leone,NA,2014/12/01,zaire
L,NA,Sierra Leone,NA,2014/12/01,zaire
NP,NA,Sierra Leone,NA,2014/12/02,zaire
vp35,NA,Sierra Leone,NA,2014/12/02,zaire
vp40,NA,Sierra Leone,NA,2014/12/02,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/02,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/02,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/02,zaire
vp30,NA,Sierra Leone,NA,2014/12/02,zaire
vp24,NA,Sierra Leone,NA,2014/12/02,zaire
L,NA,Sierra Leone,NA,2014/12/02,zaire
NP,NA,Sierra Leone,NA,2014/12/02,zaire
vp35,NA,Sierra Leone,NA,2014/12/02,zaire
vp40,NA,Sierra Leone,NA,2014/12/02,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/02,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/02,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/02,zaire
vp30,NA,Sierra Leone,NA,2014/12/02,zaire
vp24,NA,Sierra Leone,NA,2014/12/02,zaire
L,NA,Sierra Leone,NA,2014/12/02,zaire
NP,NA,Sierra Leone,NA,2014/12/02,zaire
vp35,NA,Sierra Leone,NA,2014/12/02,zaire
vp40,NA,Sierra Leone,NA,2014/12/02,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/02,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/02,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/02,zaire
vp30,NA,Sierra Leone,NA,2014/12/02,zaire
vp24,NA,Sierra Leone,NA,2014/12/02,zaire
L,NA,Sierra Leone,NA,2014/12/02,zaire
NP,NA,Sierra Leone,NA,2014/12/05,zaire
vp35,NA,Sierra Leone,NA,2014/12/05,zaire
vp40,NA,Sierra Leone,NA,2014/12/05,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/05,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/05,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/05,zaire
vp30,NA,Sierra Leone,NA,2014/12/05,zaire
vp24,NA,Sierra Leone,NA,2014/12/05,zaire
L,NA,Sierra Leone,NA,2014/12/05,zaire
NP,NA,Sierra Leone,NA,2014/12/05,zaire
vp35,NA,Sierra Leone,NA,2014/12/05,zaire
vp40,NA,Sierra Leone,NA,2014/12/05,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/05,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/05,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/05,zaire
vp30,NA,Sierra Leone,NA,2014/12/05,zaire
vp24,NA,Sierra Leone,NA,2014/12/05,zaire
L,NA,Sierra Leone,NA,2014/12/05,zaire
NP,NA,Sierra Leone,NA,2014/12/05,zaire
vp35,NA,Sierra Leone,NA,2014/12/05,zaire
vp40,NA,Sierra Leone,NA,2014/12/05,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/05,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/05,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/05,zaire
vp30,NA,Sierra Leone,NA,2014/12/05,zaire
vp24,NA,Sierra Leone,NA,2014/12/05,zaire
L,NA,Sierra Leone,NA,2014/12/05,zaire
NP,NA,Sierra Leone,NA,2014/12/06,zaire
vp35,NA,Sierra Leone,NA,2014/12/06,zaire
vp40,NA,Sierra Leone,NA,2014/12/06,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/06,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/06,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/06,zaire
vp30,NA,Sierra Leone,NA,2014/12/06,zaire
vp24,NA,Sierra Leone,NA,2014/12/06,zaire
L,NA,Sierra Leone,NA,2014/12/06,zaire
NP,NA,Sierra Leone,NA,2014/12/06,zaire
vp35,NA,Sierra Leone,NA,2014/12/06,zaire
vp40,NA,Sierra Leone,NA,2014/12/06,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/06,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/06,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/06,zaire
vp30,NA,Sierra Leone,NA,2014/12/06,zaire
vp24,NA,Sierra Leone,NA,2014/12/06,zaire
L,NA,Sierra Leone,NA,2014/12/06,zaire
NP,NA,Sierra Leone,NA,2014/12/06,zaire
vp35,NA,Sierra Leone,NA,2014/12/06,zaire
vp40,NA,Sierra Leone,NA,2014/12/06,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/06,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/06,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/06,zaire
vp30,NA,Sierra Leone,NA,2014/12/06,zaire
vp24,NA,Sierra Leone,NA,2014/12/06,zaire
L,NA,Sierra Leone,NA,2014/12/06,zaire
NP,NA,Sierra Leone,NA,2014/12/09,zaire
vp35,NA,Sierra Leone,NA,2014/12/09,zaire
vp40,NA,Sierra Leone,NA,2014/12/09,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/09,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/09,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/09,zaire
vp30,NA,Sierra Leone,NA,2014/12/09,zaire
vp24,NA,Sierra Leone,NA,2014/12/09,zaire
L,NA,Sierra Leone,NA,2014/12/09,zaire
NP,NA,Sierra Leone,NA,2014/12/12,zaire
vp35,NA,Sierra Leone,NA,2014/12/12,zaire
vp40,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/12,zaire
vp30,NA,Sierra Leone,NA,2014/12/12,zaire
vp24,NA,Sierra Leone,NA,2014/12/12,zaire
L,NA,Sierra Leone,NA,2014/12/12,zaire
NP,NA,Sierra Leone,NA,2014/12/12,zaire
vp35,NA,Sierra Leone,NA,2014/12/12,zaire
vp40,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/12,zaire
vp30,NA,Sierra Leone,NA,2014/12/12,zaire
vp24,NA,Sierra Leone,NA,2014/12/12,zaire
L,NA,Sierra Leone,NA,2014/12/12,zaire
NP,NA,Sierra Leone,NA,2014/12/12,zaire
vp35,NA,Sierra Leone,NA,2014/12/12,zaire
vp40,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/12,zaire
vp30,NA,Sierra Leone,NA,2014/12/12,zaire
vp24,NA,Sierra Leone,NA,2014/12/12,zaire
L,NA,Sierra Leone,NA,2014/12/12,zaire
NP,NA,Sierra Leone,NA,2014/12/13,zaire
vp35,NA,Sierra Leone,NA,2014/12/13,zaire
vp40,NA,Sierra Leone,NA,2014/12/13,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/13,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/13,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/13,zaire
vp30,NA,Sierra Leone,NA,2014/12/13,zaire
vp24,NA,Sierra Leone,NA,2014/12/13,zaire
L,NA,Sierra Leone,NA,2014/12/13,zaire
NP,NA,Sierra Leone,NA,2014/12/11,zaire
vp35,NA,Sierra Leone,NA,2014/12/11,zaire
vp40,NA,Sierra Leone,NA,2014/12/11,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/11,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/11,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/11,zaire
vp30,NA,Sierra Leone,NA,2014/12/11,zaire
vp24,NA,Sierra Leone,NA,2014/12/11,zaire
L,NA,Sierra Leone,NA,2014/12/11,zaire
NP,NA,Sierra Leone,NA,2014/12/13,zaire
vp35,NA,Sierra Leone,NA,2014/12/13,zaire
vp40,NA,Sierra Leone,NA,2014/12/13,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/13,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/13,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/13,zaire
vp30,NA,Sierra Leone,NA,2014/12/13,zaire
vp24,NA,Sierra Leone,NA,2014/12/13,zaire
L,NA,Sierra Leone,NA,2014/12/13,zaire
NP,NA,Sierra Leone,NA,2014/12/10,zaire
vp35,NA,Sierra Leone,NA,2014/12/10,zaire
vp40,NA,Sierra Leone,NA,2014/12/10,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/10,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/10,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/10,zaire
vp30,NA,Sierra Leone,NA,2014/12/10,zaire
vp24,NA,Sierra Leone,NA,2014/12/10,zaire
L,NA,Sierra Leone,NA,2014/12/10,zaire
NP,NA,Sierra Leone,NA,2014/12/13,zaire
vp35,NA,Sierra Leone,NA,2014/12/13,zaire
vp40,NA,Sierra Leone,NA,2014/12/13,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/13,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/13,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/13,zaire
vp30,NA,Sierra Leone,NA,2014/12/13,zaire
vp24,NA,Sierra Leone,NA,2014/12/13,zaire
L,NA,Sierra Leone,NA,2014/12/13,zaire
NP,NA,Sierra Leone,NA,2014/12/12,zaire
vp35,NA,Sierra Leone,NA,2014/12/12,zaire
vp40,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/12,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/12,zaire
vp30,NA,Sierra Leone,NA,2014/12/12,zaire
vp24,NA,Sierra Leone,NA,2014/12/12,zaire
L,NA,Sierra Leone,NA,2014/12/12,zaire
NP,NA,Sierra Leone,NA,2014/12/14,zaire
vp35,NA,Sierra Leone,NA,2014/12/14,zaire
vp40,NA,Sierra Leone,NA,2014/12/14,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/14,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/14,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/14,zaire
vp30,NA,Sierra Leone,NA,2014/12/14,zaire
vp24,NA,Sierra Leone,NA,2014/12/14,zaire
L,NA,Sierra Leone,NA,2014/12/14,zaire
NP,NA,Sierra Leone,NA,2014/12/15,zaire
vp35,NA,Sierra Leone,NA,2014/12/15,zaire
vp40,NA,Sierra Leone,NA,2014/12/15,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/15,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/15,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/15,zaire
vp30,NA,Sierra Leone,NA,2014/12/15,zaire
vp24,NA,Sierra Leone,NA,2014/12/15,zaire
L,NA,Sierra Leone,NA,2014/12/15,zaire
NP,NA,Sierra Leone,NA,2014/12/15,zaire
vp35,NA,Sierra Leone,NA,2014/12/15,zaire
vp40,NA,Sierra Leone,NA,2014/12/15,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/15,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/15,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/15,zaire
vp30,NA,Sierra Leone,NA,2014/12/15,zaire
vp24,NA,Sierra Leone,NA,2014/12/15,zaire
L,NA,Sierra Leone,NA,2014/12/15,zaire
NP,NA,Sierra Leone,NA,2014/12/16,zaire
vp35,NA,Sierra Leone,NA,2014/12/16,zaire
vp40,NA,Sierra Leone,NA,2014/12/16,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/16,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/16,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/16,zaire
vp30,NA,Sierra Leone,NA,2014/12/16,zaire
vp24,NA,Sierra Leone,NA,2014/12/16,zaire
L,NA,Sierra Leone,NA,2014/12/16,zaire
NP,NA,Sierra Leone,NA,2014/12/17,zaire
vp35,NA,Sierra Leone,NA,2014/12/17,zaire
vp40,NA,Sierra Leone,NA,2014/12/17,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/17,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/17,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/17,zaire
vp30,NA,Sierra Leone,NA,2014/12/17,zaire
vp24,NA,Sierra Leone,NA,2014/12/17,zaire
L,NA,Sierra Leone,NA,2014/12/17,zaire
NP,NA,Sierra Leone,NA,2014/12/18,zaire
vp35,NA,Sierra Leone,NA,2014/12/18,zaire
vp40,NA,Sierra Leone,NA,2014/12/18,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/18,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/18,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/18,zaire
vp30,NA,Sierra Leone,NA,2014/12/18,zaire
vp24,NA,Sierra Leone,NA,2014/12/18,zaire
L,NA,Sierra Leone,NA,2014/12/18,zaire
NP,NA,Sierra Leone,NA,2014/12/20,zaire
vp35,NA,Sierra Leone,NA,2014/12/20,zaire
vp40,NA,Sierra Leone,NA,2014/12/20,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/20,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/20,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/20,zaire
vp30,NA,Sierra Leone,NA,2014/12/20,zaire
vp24,NA,Sierra Leone,NA,2014/12/20,zaire
L,NA,Sierra Leone,NA,2014/12/20,zaire
NP,NA,Sierra Leone,NA,2014/12/23,zaire
vp35,NA,Sierra Leone,NA,2014/12/23,zaire
vp40,NA,Sierra Leone,NA,2014/12/23,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/23,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/23,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/23,zaire
vp30,NA,Sierra Leone,NA,2014/12/23,zaire
vp24,NA,Sierra Leone,NA,2014/12/23,zaire
L,NA,Sierra Leone,NA,2014/12/23,zaire
NP,NA,Sierra Leone,NA,2014/12/24,zaire
vp35,NA,Sierra Leone,NA,2014/12/24,zaire
vp40,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/24,zaire
vp30,NA,Sierra Leone,NA,2014/12/24,zaire
vp24,NA,Sierra Leone,NA,2014/12/24,zaire
L,NA,Sierra Leone,NA,2014/12/24,zaire
NP,NA,Sierra Leone,NA,2014/12/24,zaire
vp35,NA,Sierra Leone,NA,2014/12/24,zaire
vp40,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/24,zaire
vp30,NA,Sierra Leone,NA,2014/12/24,zaire
vp24,NA,Sierra Leone,NA,2014/12/24,zaire
L,NA,Sierra Leone,NA,2014/12/24,zaire
NP,NA,Sierra Leone,NA,2014/12/24,zaire
vp35,NA,Sierra Leone,NA,2014/12/24,zaire
vp40,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/24,zaire
vp30,NA,Sierra Leone,NA,2014/12/24,zaire
vp24,NA,Sierra Leone,NA,2014/12/24,zaire
L,NA,Sierra Leone,NA,2014/12/24,zaire
NP,NA,Sierra Leone,NA,2014/12/24,zaire
vp35,NA,Sierra Leone,NA,2014/12/24,zaire
vp40,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/24,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/24,zaire
vp30,NA,Sierra Leone,NA,2014/12/24,zaire
vp24,NA,Sierra Leone,NA,2014/12/24,zaire
L,NA,Sierra Leone,NA,2014/12/24,zaire
NP,NA,Sierra Leone,NA,2014/12/25,zaire
vp35,NA,Sierra Leone,NA,2014/12/25,zaire
vp40,NA,Sierra Leone,NA,2014/12/25,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/25,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/25,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/25,zaire
vp30,NA,Sierra Leone,NA,2014/12/25,zaire
vp24,NA,Sierra Leone,NA,2014/12/25,zaire
L,NA,Sierra Leone,NA,2014/12/25,zaire
NP,NA,Sierra Leone,NA,2014/12/25,zaire
vp35,NA,Sierra Leone,NA,2014/12/25,zaire
vp40,NA,Sierra Leone,NA,2014/12/25,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/25,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/25,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/25,zaire
vp30,NA,Sierra Leone,NA,2014/12/25,zaire
vp24,NA,Sierra Leone,NA,2014/12/25,zaire
L,NA,Sierra Leone,NA,2014/12/25,zaire
NP,NA,Sierra Leone,NA,2014/12/26,zaire
vp35,NA,Sierra Leone,NA,2014/12/26,zaire
vp40,NA,Sierra Leone,NA,2014/12/26,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/26,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/26,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/26,zaire
vp30,NA,Sierra Leone,NA,2014/12/26,zaire
vp24,NA,Sierra Leone,NA,2014/12/26,zaire
L,NA,Sierra Leone,NA,2014/12/26,zaire
NP,NA,Sierra Leone,NA,2014/12/26,zaire
vp35,NA,Sierra Leone,NA,2014/12/26,zaire
vp40,NA,Sierra Leone,NA,2014/12/26,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/26,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/26,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/26,zaire
vp30,NA,Sierra Leone,NA,2014/12/26,zaire
vp24,NA,Sierra Leone,NA,2014/12/26,zaire
L,NA,Sierra Leone,NA,2014/12/26,zaire
NP,NA,Sierra Leone,NA,2014/12/27,zaire
vp35,NA,Sierra Leone,NA,2014/12/27,zaire
vp40,NA,Sierra Leone,NA,2014/12/27,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/27,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/27,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/27,zaire
vp30,NA,Sierra Leone,NA,2014/12/27,zaire
vp24,NA,Sierra Leone,NA,2014/12/27,zaire
L,NA,Sierra Leone,NA,2014/12/27,zaire
NP,NA,Sierra Leone,NA,2014/12/27,zaire
vp35,NA,Sierra Leone,NA,2014/12/27,zaire
vp40,NA,Sierra Leone,NA,2014/12/27,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/27,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/27,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/27,zaire
vp30,NA,Sierra Leone,NA,2014/12/27,zaire
vp24,NA,Sierra Leone,NA,2014/12/27,zaire
L,NA,Sierra Leone,NA,2014/12/27,zaire
NP,NA,Sierra Leone,NA,2014/12/27,zaire
vp35,NA,Sierra Leone,NA,2014/12/27,zaire
vp40,NA,Sierra Leone,NA,2014/12/27,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/27,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/27,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/27,zaire
vp30,NA,Sierra Leone,NA,2014/12/27,zaire
vp24,NA,Sierra Leone,NA,2014/12/27,zaire
L,NA,Sierra Leone,NA,2014/12/27,zaire
NP,NA,Sierra Leone,NA,2014/12/28,zaire
vp35,NA,Sierra Leone,NA,2014/12/28,zaire
vp40,NA,Sierra Leone,NA,2014/12/28,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/28,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/28,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/28,zaire
vp30,NA,Sierra Leone,NA,2014/12/28,zaire
vp24,NA,Sierra Leone,NA,2014/12/28,zaire
L,NA,Sierra Leone,NA,2014/12/28,zaire
NP,NA,Sierra Leone,NA,2014/12/29,zaire
vp35,NA,Sierra Leone,NA,2014/12/29,zaire
vp40,NA,Sierra Leone,NA,2014/12/29,zaire
GP-Spike,NA,Sierra Leone,NA,2014/12/29,zaire
GP-Small,NA,Sierra Leone,NA,2014/12/29,zaire
GP-Second,NA,Sierra Leone,NA,2014/12/29,zaire
vp30,NA,Sierra Leone,NA,2014/12/29,zaire
vp24,NA,Sierra Leone,NA,2014/12/29,zaire
L,NA,Sierra Leone,NA,2014/12/29,zaire
